Team,RY(O),R(O)_RY,PY(O),R(O)_PY,TY(O),R(O)_TY,RY(D),R(D)_RY,PY(D),R(D)_PY,TY(D),R(D)_TY,TO,PF,PA,SU,ATS
Texas State,209.2,16,268.3,24,477.5,11,145.2,58,214.6,62,359.8,55,-0.4,36.5,24.5,8-5,
Texas Tech,166.3,60,296.9,14,463.2,16,156.4,79,308.8,127,465.2,123,0.0,37.6,34.8,8-5,
Toledo,117.5,103,253.1,33,370.5,75,152.2,74,207.9,53,360.2,56,0.1,28.3,23.2,8-5,
Troy,157.3,78,213.1,91,370.4,94,145.4,38,221.6,47,367.0,35,-0.6,26.0,28.4,4-8,
Tulane,196.6,15,209.4,59,405.9,32,146.4,81,177.7,30,324.1,42,0.5,35.1,20.6,9-5,
Tulsa,151.4,82,238.6,70,390.0,84,181.8,96,316.0,126,497.8,119,-0.6,25.0,42.5,3-9,
USC Trojans,146.5,76,291.9,15,438.4,29,142.0,50,235.5,98,377.5,76,-0.2,30.2,24.1,7-6,
Uab,131.0,99,261.6,44,392.6,82,213.4,121,180.3,5,393.8,62,-1.1,26.2,34.2,3-9,
Ucf,248.1,11,199.7,100,447.8,40,121.1,14,218.7,41,339.8,13,-0.7,30.4,26.9,4-8,
Ucla,86.9,128,242.2,63,329.2,118,96.7,3,244.7,79,341.3,14,-0.3,18.4,25.2,5-7,
Uconn,200.2,21,198.4,90,398.6,52,134.3,39,215.0,63,349.3,44,-0.1,31.9,23.1,9-4,
Ul Monroe,172.8,68,134.8,125,307.6,126,202.2,113,183.9,8,386.1,50,-0.2,21.0,28.8,5-7,
Unlv,247.6,3,172.6,98,420.3,19,116.5,30,235.9,111,352.4,80,1.0,35.4,21.3,11-3,
Utah,130.4,100,199.4,101,329.8,117,130.9,26,200.2,23,331.2,6,-0.3,23.6,20.7,5-7,
Utah State,199.3,36,269.1,34,468.4,34,215.1,122,255.6,100,470.7,115,-0.5,31.9,37.8,4-8,
Utep,120.8,108,200.0,99,320.8,122,180.2,93,223.2,51,403.3,70,-0.1,19.5,32.3,3-9,
Utsa,169.0,57,283.5,17,452.5,20,110.2,13,265.8,122,376.0,72,0.0,33.2,30.1,7-6,
Vanderbilt,140.4,81,178.6,105,319.0,110,141.3,48,235.7,99,377.0,74,0.7,27.3,23.4,7-6,
Virginia,132.8,96,229.0,79,361.8,100,145.8,40,263.1,104,408.8,75,-0.3,22.7,28.8,5-7,
Virginia Tech,178.8,44,189.4,95,368.2,76,147.1,61,215.9,66,363.0,58,0.6,28.2,22.8,6-7,
Wake Forest,131.4,98,240.1,66,371.5,93,159.1,59,277.8,112,436.9,100,-0.3,25.7,32.5,4-8,
Washington,129.2,89,261.7,29,390.8,54,162.2,88,166.5,6,328.7,30,0.2,23.4,23.8,6-7,
Washington State,167.2,59,276.1,20,443.2,26,172.2,101,270.5,123,442.8,117,0.7,36.6,29.9,8-5,
West Virginia,196.0,26,210.3,81,406.3,50,144.7,57,270.8,124,415.5,107,-0.6,29.2,31.9,6-7,
Western Kentucky,109.7,102,264.6,16,374.4,51,221.6,129,176.0,28,397.6,113,-0.3,24.9,24.6,8-6,
Western Michigan,183.6,37,187.0,96,370.6,74,192.5,116,222.6,74,415.1,106,0.6,28.9,31.3,6-7,
Wisconsin,154.1,79,196.7,102,350.8,107,165.7,76,177.7,3,343.3,16,-0.5,22.6,23.1,5-7,
Wyoming,138.1,92,188.6,109,326.7,119,191.7,105,218.9,42,410.6,79,-0.4,19.3,28.3,3-9,
