season,week,team_raw,team_norm,team,pr,pr_rank,sos,sos_rank,hfa,source_url,fetched_at,page_stamp
2025,15,Los Angeles Chargers,Los Angeles Chargers,Los Angeles Chargers,21.09,15,18.55,30,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Chicago Bears,Chicago Bears,Chicago Bears,20.94,16,19.7,21,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh Steelers,20.39,17,20.62,12,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa Bay Buccaneers,19.51,18,20.98,7,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Minnesota Vikings,Minnesota Vikings,Minnesota Vikings,19.17,19,20.77,9,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Dallas Cowboys,Dallas Cowboys,Dallas Cowboys,18.61,20,20.26,16,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Cincinnati Bengals,Cincinnati Bengals,Cincinnati Bengals,17.57,21,21.41,3,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Washington Redskins,Washington Commanders,Washington Commanders,17.45,22,20.64,11,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Miami Dolphins,Miami Dolphins,Miami Dolphins,17.01,23,18.6,29,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Carolina Panthers,Carolina Panthers,Carolina Panthers,16.74,24,19.86,20,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals,16.45,25,21.05,6,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Atlanta Falcons,Atlanta Falcons,Atlanta Falcons,16.36,26,19.27,24,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,New York Giants,New York Giants,New York Giants,15.35,27,22.33,1,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Cleveland Browns,Cleveland Browns,Cleveland Browns,14.13,28,19.48,22,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Las Vegas Raiders,Las Vegas Raiders,Las Vegas Raiders,13.27,29,20.35,15,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,New York Jets,New York Jets,New York Jets,13.2,30,19.02,27,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,New Orleans Saints,New Orleans Saints,New Orleans Saints,12.6,31,20.51,13,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
2025,15,Tennessee Titans,Tennessee Titans,Tennessee Titans,12.01,32,21.41,4,2.01,http://sagarin.com/sports/nflsend.htm,2025-12-14T10:30:35.168790Z,NFL 2025 through games of 2025 December 8 Monday - Week 14
